Bhk,Price,Location
3,30000,"Patels Bright View, Yapral"
3,27000,"Secunderabad, Rashtrapati ROAd"
3,16000,"VSR Celestial Towers, Gajularamaramm"
3,28000,"SMR Vinay Harmony County, Appa junction"
3,25000,"Chitrapuri Colony, Manikonda, Outer Ring Road"
3,45000,"Hallmark KSN Residency, Kondapur"
3,45000,"Vittal Rao Nagar, Hitech City City"
2,20000,"NCL Sindhu, Satyam Enclave, Kompally, NH"
2,11000,"Manovikas Nagar, Secunderabad, NH"
3,40000,"My Home Avatar, Narsingi, Outer Ring Road"
3,28000,"Ramanthapur, NH"
3,18000,"Pragathi Nagar, Kukatpally"
4,9000,"Bandlaguda, Nagole, Srisailam Highway"
2,8000,Patelguda
2,11000,Suchitra Road
3,32000,"Hafeezpet, NH"
3,26000,"Green Field Colony, Secunderabad"
2,14500,"Bachupally, Outer Ring Road"
3,45000,Near Gachibowli Financial district.
3,16500,"Moula Ali, Moula Ali Road"
3,50000,Gachibowli (ORR junction)
2,36000,"My Home Avatar, Narsingi, Outer Ring Road"
3,35000,"Aditya Nagar, Hafeezpet"
3,32000,"SRI SAIRAM Towers, Indra Reddy Alwyn Colony, Miyapur, NH"
2,18000,Adibatla
3,40000,Shaikpet
3,13000,"Gaghan Pahad, Rajendra Nagar, Outer Ring Road"
3,22000,"Hafeezpet, NH"
3,30000,"Krishna Nagar, Yousufguda"
3,12000,"Bachupally, Outer Ring Road"
2,12000,Adibatla
2,10000,"Malla Reddy Colony, Secunderabad"
3,36000,"Mantri Celestia, Gachibowli, Outer Ring Road"
2,12000,"Buddha Nagar Colony, Boduppal"
2,25000,Mehdipatnam
2,28000,Mehdipatnam
3,15000,Dr A.S. Rao Nagar
2,12000,"Bachupally, Outer Ring Road"
3,30000,Marredpally
3,18000,"Boduppal, NH"
2,14000,Nizampet
3,15000,"Fort View, Hydershakote, Bandlaguda, Chevella Road"
2,28000,Mehdipatnam
3,18000,Nagole
2,30000,Hakimpet-Hyderabad
3,22000,"Quadri Happy Homes Paradise, Amberpet"
2,19000,Gajularamaramm
3,30000,"Ameerpet, NH"
3,18000,"Rasoolpura, Mahatma Gandhi Road"
3,23000,KPHB Colony
3,42000,"Narsingi, Outer Ring Road"
3,24000,"Pocharam, NH"
3,14000,"Boduppal, NH"
3,16000,"Chandanagar, NH"
3,25000,"Raghavendra Colony, NH"
3,21500,Puppalaguda
3,40000,"My Home Avatar, Narsingi, Outer Ring Road"
2,30000,"Aliens Fast Track, Madhapur"
2,23000,"KKRs Fountainhead, Miyapur, NH"
3,35000,"Pearl Celestial, Kokapet, Outer Ring Road"
2,12000,military dairy farm rd
2,15000,"Skanda Srinivasam, Isnapur, Outer Ring Road"
3,19000,"Madinaguda, Hafeezpet, NH"
3,50000,"Green Grace, Gachibowli, Outer Ring Road"
2,22000,"Vazhraa Nirmaan Pushpak, Madhura Nagar, Nizampet"
2,16000,Papulguda
2,18000,Humayun Nagar
2,23000,"Padmarao Nagar, Hyderabad-Karimnagar Highway"
3,17000,"New Bowenpally, NH"
3,45000,"Punjagutta, NH"
3,25000,"Manikonda, Outer Ring Road"
3,22000,"Shankara Kranthi Apartment, Kavadiguda, NH"
3,21000,Shaikpet
3,33000,"IT Heights, Khaja Guda, Outer Ring Road"
3,25000,"Himayath Nagar, NH"
3,45000,"Narsingi, Outer Ring Road"
3,17500,"Sun City, Bandlaguda, Chevella Road"
3,25000,"Upparpally, Hyderabad Expressway"
2,30000,"Narsingi, Outer Ring Road"
3,42000,"The Legend Somajiguda I, Somajiguda, NH"
3,35000,Shivam Rd
2,26000,Hakimpet-Hyderabad
3,30000,"Miyapur, NH"
3,45000,"NCC Urban One, Narsingi, Outer Ring Road"
3,28000,"Habsiguda, NH"
2,31000,"My Home Avatar, Narsingi, Outer Ring Road"
2,30000,"My Home Avatar, Narsingi, Outer Ring Road"
2,15000,"Bandlaguda, Nagole, Srisailam Highway"
4,35000,KPHB Road
3,22000,Gopanapalli
3,25000,"Kukatpally Housing Board Colony, NH"
2,13000,"Ramanthapur, NH"
2,15000,Rahat Nagar-Amberpet
2,14000,"Radha Krishna Nagar-Attapur, Attapur"
3,27000,"SMR Sartaj Plaza, Bowenpally"
3,34000,"My Home Avatar, Narsingi, Outer Ring Road"
3,20000,Puppalaguda
2,27000,"Jaya Nagar, Kukatpally, NH"
2,11000,Gajularamaramm
3,20000,Attapur
3,25000,"Ameerpet, NH"
3,38000,"Aparna Sarovar, Nalagantla"
2,28000,Mehdipatnam
2,15000,"Bachupally, Outer Ring Road"
2,25000,"Basheer Bagh, NH"
3,16000,Gajularamaramm
3,30000,"SMR Empire, West Marredpally"
3,8500,Janapriya Lakefront
3,16000,Nizampet
2,13500,"Victory Estates, Jeedimetla, NH"
2,12500,"Vasathi Anandi, Appa junction"
2,40000,"SMR Vinay Technopolis, Madhapur"
2,11000,"Pocharam, NH"
3,18000,Nizampet
3,24000,"Narsingi, Outer Ring Road"
2,27000,"Muppas Alankrita, Narsingi, Outer Ring Road"
2,9000,Gajularamaramm
4,21000,Trimulgherry
3,19000,"Raheja Vistas, Nacharam"
2,24000,"Ushodaya Enclave, Hafeezpet"
3,16500,Nizampet
2,7000,Badangpet
3,26000,"Erragadda, NH"
3,16500,Bandari Layout
4,50000,"Domalguda, Himayath Nagar, NH"
3,42500,"Vajras Jasmine County, Gachibowli, Outer Ring Road"
3,50000,"Aditya Empress Towers, Shaikpet"
3,35000,"Banjara Hills, NH"
3,20000,Dr A.S. Rao Nagar
3,20000,Boiguda
3,40000,"L&T Serene County, Telecom Nagar, Gachibowli, Gachibowli, Outer Ring Road"
3,45000,"Meenakshi Sky Lounge, Bikshapathi Nagar, Hafeezpet"
2,22000,Hitech City City
2,25000,Madhapur
3,28000,"DD Colony, Amberpet"
3,35000,"Aditya Imperial Heights, Hafeezpet, NH"
2,10000,Attapur
3,14000,Attapur
2,12000,Nizampet
2,13000,Pragathi Nagar
2,16000,"Chandanagar, NH"
2,16000,"Lingampally-Serilingampally, NH"
1,6500,"Banjara Hills, NH"
3,38000,"Lodha Meridian, Kukatpally Housing Board Colony, NH"
3,45000,Masab Tank
1,12500,Madhapur
2,15000,"Madinaguda, Hafeezpet, NH"
3,23000,"Anjani Towers, Ameerpet, NH"
3,25000,Himayath Nagar
3,20000,Bandlaguda Jagir
3,21000,MIGH Colony-Mehdipatnam
3,38000,"Narsingi, Outer Ring Road"
2,16000,"Manikonda, Outer Ring Road"
3,25000,New Mallepally
3,30000,Madhapur
2,18000,"Himayath Nagar, NH"
3,36000,"My Home Vihanga, Gachibowli, Outer Ring Road"
2,15400,Begumpet
1,7000,New
3,19000,Punjagutta Colony
3,22000,Attapur
3,25000,HITEC City
3,40000,"Banjara Hills, NH"
3,12000,Neredmet
3,40000,"Mantri Celestia, Gachibowli, Outer Ring Road"
3,30000,"MJR Golden Enclave, Madhapur"
2,11000,"Lakshmi Nagar Colony-Hanuman Nagar Colony, Secunderabad"
3,25000,"Barkatpura, Kachiguda, NH"
3,48000,"Jayabheri Orange County, Gachibowli, Outer Ring Road"
2,15000,"Gachibowli, Outer Ring Road"
2,13000,Alwal
2,21000,"Raghavendra Colony, NH"
3,30000,"My Homes Jewel, Miyapur, NH"
3,28000,"Yella Reddy Guda, NH"
3,30000,"Ashok Nagar, Himayath Nagar"
3,12000,"Malakpet, NH"
3,35000,"Himayath Nagar, NH"
2,17500,Kondapur
3,47000,"Meenakshis Royal Court, Banjara Hills, NH"
2,28000,"Jains Carlton Creek, Gachibowli, Outer Ring Road"
