Column1,Bhk,Furnishing,Tennants,Area,Price,Locality
274,3,Semi-Furnished,Bachelors/Family,1600 sqft,17000,Uppal Metro
275,3,Semi-Furnished,Bachelors/Family,1750 sqft,17000,Bowenpally
276,3,Unfurnished,Bachelors,1700 sqft,20000,Nizampet
277,3,Unfurnished,Bachelors/Family,1782 sqft,35000,"IT Heights, Khaja Guda, Outer Ring Road"
278,3,Semi-Furnished,Family,1450 sqft,15000,Bowenpally
279,2,Unfurnished,Bachelors,954 sqft,10000,"Modi Emerald Heights, Pocharam, NH"
280,3,Semi-Furnished,Family,1933 sqft,16000,"Modi Splendour, Gajularamaramm"
281,3,Semi-Furnished,Bachelors/Family,1700 sqft,32000,"Pranav Surya Planet, Kothaguda"
282,2,Semi-Furnished,Bachelors/Family,1008 sqft,14000,"Miyapur, NH"
283,2,Unfurnished,Family,1100 sqft,15000,"Chandanagar, NH"
284,2,Unfurnished,Family,1140 sqft,8500,"Lalaguda, Secunderabad"
285,1,Semi-Furnished,Bachelors,read more,8000,"LB Nagar, NH"
286,3,Semi-Furnished,Bachelors,1350 sqft,10000,"Sri Sai Ram Residency, Beeramguda, Ramachandra Puram, NH"
287,2,Semi-Furnished,Bachelors/Family,900 sqft,15000,Gayathri Nagar
288,3,Furnished,Family,1745 sqft,29000,"Concrete Palazzo, Nacharam"
289,2,Semi-Furnished,Bachelors/Family,1180 sqft,19500,"Silver Nest Arcade, Narayanguda"
290,2,Semi-Furnished,Bachelors,1314 sqft,35000,"My Home Avatar, Narsingi, Outer Ring Road"
291,2,Furnished,Bachelors/Family,1280 sqft,30000,Narayanguda
292,3,Semi-Furnished,Bachelors/Family,1490 sqft,30000,"Aditya Imperial Heights, Hafeezpet, NH"
293,3,Unfurnished,Bachelors,1500 sqft,18000,New Nallakunta
294,2,Unfurnished,Bachelors,1278 sqft,33000,"Lodha Meridian, Kukatpally Housing Board Colony, NH"
295,2,Semi-Furnished,Bachelors,1600 sqft,35000,"Banjara Hills, NH"
296,3,Semi-Furnished,Family,1545 sqft,35000,"Vajras Jasmine County, Gachibowli, Outer Ring Road"
297,3,Semi-Furnished,Bachelors,2430 sqft,40000,"SMR Vinay Iconia, Kondapur"
298,3,Semi-Furnished,Bachelors/Family,1834 sqft,40400,"My Home Avatar, Narsingi, Outer Ring Road"
299,2,Unfurnished,Bachelors,1100 sqft,17000,"Krishna Giri Enclave, Secunderabad"
300,3,Semi-Furnished,Family,1738 sqft,48000,"Prestige Ivy League, Hitech City City"
301,3,Unfurnished,Bachelors,2440 sqft,48000,"Jayabheri Orange County, Gachibowli, Outer Ring Road"
302,3,Semi-Furnished,Family,1490 sqft,22000,"Janapriya Utopia II, Upparpally, Hyderabad Expressway"
303,3,Semi-Furnished,Family,2690 sqft,40000,"SRI SAIRAM Towers, Hafeezpet, NH"
304,2,Unfurnished,Bachelors/Family,1000 sqft,18000,Shivam Rd
305,2,Unfurnished,Bachelors/Family,1000 sqft,16000,"Kukatpally Housing Board Colony, NH"
306,2,Semi-Furnished,Bachelors/Family,1100 sqft,20000,Kondapur
307,3,Furnished,Bachelors,NaN,44000,Hitech City
308,1,Unfurnished,Bachelors/Family,East Facing Property,6500,Vidyanagar
309,3,Semi-Furnished,Bachelors/Family,1800 sqft,45000,"Golf View, Gachibowli, Outer Ring Road"
